#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1891 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:109 out:109 type:B dur:2 cpbdur:2 q:36.87 aq:36.17 tex:29967 mv:21963 misc:3214 imb:242 pmb:1656 smb:1702 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:36.90 aq:37.93 tex:6083 mv:9318 misc:2871 imb:29 pmb:915 smb:2656 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:36.85 aq:37.50 tex:13551 mv:13155 misc:3142 imb:98 pmb:1209 smb:2293 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:36.58 aq:34.09 tex:117622 mv:27791 misc:1811 imb:1518 pmb:1552 smb:530 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:36.70 aq:35.54 tex:47748 mv:28314 misc:2730 imb:703 pmb:1584 smb:1313 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:36.76 aq:37.15 tex:17233 mv:15609 misc:2982 imb:153 pmb:1253 smb:2194 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:36.64 aq:36.98 tex:34143 mv:23495 misc:2890 imb:591 pmb:1328 smb:1681 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:36.55 aq:34.18 tex:92838 mv:23762 misc:2184 imb:1232 pmb:1661 smb:707 d:- ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:36.57 aq:35.46 tex:35786 mv:21892 misc:3170 imb:366 pmb:1586 smb:1648 d:- ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:36.58 aq:37.02 tex:14244 mv:12770 misc:3082 imb:199 pmb:1078 smb:2323 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:36.56 aq:36.86 tex:10318 mv:10574 misc:2484 imb:151 pmb:776 smb:2673 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:36.56 aq:33.56 tex:118155 mv:27203 misc:1506 imb:1745 pmb:1511 smb:344 d:- ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:36.56 aq:35.51 tex:36036 mv:21989 misc:3119 imb:495 pmb:1518 smb:1587 d:- ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:36.55 aq:36.87 tex:15704 mv:12130 misc:2782 imb:270 pmb:947 smb:2383 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:36.56 aq:36.32 tex:18407 mv:15633 misc:2944 imb:393 pmb:1092 smb:2115 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:36.61 aq:33.79 tex:95349 mv:25080 misc:2011 imb:1248 pmb:1707 smb:645 d:- ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:36.59 aq:35.49 tex:19220 mv:16025 misc:3219 imb:233 pmb:1240 smb:2127 d:- ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:36.57 aq:36.64 tex:12966 mv:12737 misc:2745 imb:207 pmb:942 smb:2451 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:36.60 aq:37.31 tex:6566 mv:8552 misc:2746 imb:69 pmb:839 smb:2692 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:36.75 aq:33.64 tex:75626 mv:23687 misc:2471 imb:963 pmb:1831 smb:806 d:- ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:36.68 aq:35.21 tex:14707 mv:11469 misc:3184 imb:107 pmb:1103 smb:2390 d:- ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:36.65 aq:36.80 tex:6620 mv:10079 misc:2941 imb:81 pmb:943 smb:2576 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:36.72 aq:37.13 tex:2423 mv:4973 misc:2020 imb:11 pmb:493 smb:3096 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:36.81 aq:34.30 tex:72052 mv:21862 misc:2398 imb:1134 pmb:1624 smb:842 d:- ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:36.78 aq:35.86 tex:12114 mv:12635 misc:3195 imb:103 pmb:1093 smb:2404 d:- ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:36.77 aq:37.75 tex:2747 mv:5532 misc:2129 imb:21 pmb:506 smb:3073 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:36.80 aq:37.13 tex:4775 mv:6581 misc:2244 imb:81 pmb:567 smb:2952 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:36.75 aq:35.05 tex:77195 mv:23852 misc:2017 imb:1624 pmb:1439 smb:537 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:36.78 aq:35.58 tex:24651 mv:18483 misc:3226 imb:466 pmb:1357 smb:1777 d:- ref:0 ;
